disease,tissue,cell type,cell line,sex
hepatocellular carcinoma,liver,,,
hepatocellular carcinoma,tumor,,,
hepatocellular carcinoma,,,,
hepatocellular carcinoma,,,,
hepatocellular carcinoma,tumor,,,
hepatocellular carcinoma,tumor,,,
hepatocellular carcinoma,tumor,,,
hepatocellular carcinoma,tumor,,,
hepatocellular carcinoma,liver,hepatocyte,,
hepatocellular carcinoma,liver,hepatocyte,,
hepatocellular carcinoma,liver,hepatocyte,,
hepatocellular carcinoma,liver,hepatocyte,,
hepatocellular carcinoma,liver,hepatocyte,,
hepatocellular carcinoma,liver,hepatocyte,,
hepatoma,,,,male
hepatoma,,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma-non tumorous region,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,liver,,,male
hepatocellular carcinoma,,,,
hepatocellular carcinoma,,,,
hepatocellular carcinoma,,,,
hepatocellular carcinoma,,,,
hepatocellular carcinoma,,,,
hepatocellular carcinoma,,,,
hepatocellular carcinoma,liver,,snu-398,not available
hepatocellular carcinoma,liver,,jhh-7,not available
hepatocellular carcinoma,liver,,jhh-5,male
hepatocellular carcinoma,liver,,huh-7,male
hepatocellular carcinoma,liver,,snu-449,not available
hepatocellular carcinoma,liver,,jhh-2,not available
hepatocellular carcinoma,liver,,hep g2,male
hepatocellular carcinoma,liver,,jhh-1,not available
hepatocellular carcinoma,liver,,snu-387,not available
hepatocellular carcinoma,liver,,jhh-4,not available
hepatocellular carcinoma,liver,,snu-182,not available
hepatocellular carcinoma,liver,,snu-475,not available
hepatocellular carcinoma,liver,,snu-423,not available
hepatocellular carcinoma,liver,,plc/prf/5,not available
hepatocellular carcinoma,liver,,huh-1,male
hepatocellular carcinoma,liver,hepatocellular carcinoma cell line,hepg2,
hepatocellular carcinoma,liver,hepatocellular carcinoma cell line,hepg2,
hepatocellular carcinoma,liver,hepatocellular carcinoma cell line,hepg2,
hepatocellular carcinoma,liver,hepatocellular carcinoma cell line,hepg2,
hepatocellular carcinoma,liver,hepatocellular carcinoma cell line,hepg2,
hepatocellular carcinoma,liver,hepatocellular carcinoma cell line,hepg2,
hepatocellular carcinoma,liver,hepatocellular carcinoma cell line,hepg2,
hepatocellular carcinoma,liver,hepatocellular carcinoma cell line,hepg2,
hepatocellular carcinoma,liver,hepatocellular carcinoma cell line,hepg2,
hepatocellular carcinoma,liver,hepatocellular carcinoma cell line,huh7,
hepatocellular carcinoma,liver,hepatocellular carcinoma cell line,huh7,
hepatocellular carcinoma,liver,hepatoma cell line,plc/prf/5,
hepatocellular carcinoma,liver,hepatocellular carcinoma cell line,hepg2,
hepatocellular carcinoma,liver,hepatocellular carcinoma cell line,huh7,
hepatocellular carcinoma,liver,hepatocellular carcinoma cell line,hepg2,
hepatocellular carcinoma,liver,hepatocellular carcinoma cell line,hepg2,
hepatocellular carcinoma,liver,hepatocellular carcinoma cell line,hepg2,
hepatocellular carcinoma,liver,hepatocellular carcinoma cell line,hepg2,
hepatocellular carcinoma,liver,hepatocellular carcinoma cell line,plc8024,
hepatocellular carcinoma,liver,hepatocellular carcinoma cell line,hepg2,
hepatoma,liver,hepatoma cell line,heparg,
hepatocellular carcinoma,liver,hepatocellular carcinoma cell line,hepg2,
hepatocellular carcinoma,liver,hepatocellular carcinoma cell line,hepg2,
hepatocellular carcinoma,liver,,,
hepatoma,liver,norwalk virus replicon-bearing hepatoma cell line,hg23,
hepatoma,liver,hepatoma cell line,heparg,
hepatoma,liver,hepatoma cell line,heparg,
hepatocellular carcinoma,liver,hepatocellular carcinoma cell line,hepg2,
hepatocellular carcinoma,liver,hepatocellular carcinoma cell line,hepg2,
hepatocellular carcinoma,liver,hepatocellular carcinoma cell line,hepg2,
hepatocellular carcinoma,liver,hepatocellular carcinoma cell line,hepg2,
hepatoma,liver,hepatoma cell line,heparg,
hepatocellular carcinoma,liver,hepatocellular carcinoma cell line,hepg2,
hepatoma,liver,hepatoma cell line,heparg,
hepatocellular carcinoma,liver,hepatocellular carcinoma cell line,hepg2,
hepatocellular carcinoma,liver,hepatocellular carcinoma cell line,hepg2,
